name,bundleId
AirTwister,com.ysn.gaw
Alba,com.ustwo.alba
AngryBirdsReloaded,com.rovio.abreloaded
BADLAND,com.frogmindgames.badlandonearcade
BEAST,com.ohbibi.beast
BadlandParty,com.frogmindgames.badland3
Balatro,com.playstack.balatroarcade
BleakSword,com.devolver.bleaksword
Brawls,com.lego.games.brawls
BuildersJourney,com.lego.games.arthouse
Carcade,com.dodreams.carcade
PocketCardJockey,jp.gamefreak.solitiba3
CardOfDarkness,net.stfj.cardofdarkness
LegoStarWars,com.gameloft.legostarwars
CastleCrumble,com.orbitalknight.castlearcade
Castlevania,jp.konami.castlevania.ac
Chameleon,com.noodlecake.chameleonrunarcade
CharruaSoccer,com.batovi.soccer19
Cityscapes,com.playstack.citybuilder
CookingMamaCuisine,jp.co.ofcr.cmA00
CricketThroughtheAges,com.devolver.cricket
CrossyRoadCastle,com.hipsterwhale.crossycastle
CrossyRoad,com.hipsterwhale.crossyarcade
CuttheRope3,com.zeptolab.ctr3
CuttheRope,com.paladinstudios.ctr
Cypher,com.tiltingpoint.cypher
DailyWheel,com.frostypop.dailywheel
Dandara,com.rawfury.longhathouse.DandaraAA
DeadCells,com.playdigious.deadcells.applearcade
DearReader,com.localno12.losswords7
DisneyMania,com.mightybeargames.grizzly
DoodleGodUniverse,com.joybits.doodlegoduniverse
EpisodeXOXO,com.episodeinteractive.pinball
Farmside,com.thelabel.farmtopia
FroggerRR,jp.konami.FroggerRR
GRIS,com.devolverdigital.com.grisplus
GardenTails,com.weplaydots.gardentails
Gibbon,es.brokenrul.gibbon
GoTTaleofCrows,com.devolver.gotwall
Grindstone,com.capybaragames.grindstone
HEROish,com.SunblinkEntertainment.HeroesFate
Hanx101Trivia,co.bluelinestudios.trivia101
HiddenFolks,com.adriaandejongh.hiddenfolks.applearcade
Illustrated,com.borderleap.illustrated
JapaneseLife,jp.gamestart.japaneserural
JellyCarWorlds,com.walaber.jellycar4
JetDragon,com.grezzo.game.jd
Jetpack2,com.halfbrick.jetpackjoyride2
Junkworld,com.ironhidegames.junkworld
KimonoCats,com.humanaturestudios.kimonocats
KingdomsMergeBuild,com.cherrypickgames.royalkingdoms
LEGOStarWarsBattles,com.ttgames.lswb
Legends,com.ironhidegames.legendskr
LeosFortune,com.leosfortune.arcade
MLP,com.gameloft.mylittlepony.arcade
MasterChef,com.tiltingpoint.masterchef
MiniMotorways,com.dinopoloclub.minimotorways
Monomals,com.picomy.monomals
Moonshot,com.noodlecake.moonshot
NBA2K23ArcadeEdition,com.2ksports.nba2k23arcade
NBA2K24ArcadeEdition,com.2ksports.nba2k24arcade
NBA2K25ArcadeEdition,com.2ksports.nba2k25arcade
NickelodeonExtremeTennis,com.mtvn.arcadetennis
Octodad,com.younghorses.octodadplus
Oddmar,com.mobge.oddmararcade
Outlanders2,com.pomelogames.Outlanders2
Outlanders,com.pomelogames.KingdomsGame
PACMANPARTY,jp.co.bandainamcoent.BNEI0360
Patterned,com.borderleap.patterned
PunchKickDuck,com.pipsqueakgames.punchkickduckplus
Pine,com.sega.pine
PuzzleDragonsS,jp.gungho.hanger
RabbidsMultiverse,com.ubisoft.rabbidsmultiverse
Rayman,com.ubisoft.raymanair
RidiculousFishing,com.vlambeer.ridifish
RiptideGPRenegade,com.vectorunit.silver-plus
SPNG,com.smgstudio.sping
SambadeAmigo,com.sega.samba
Sasquatch,com.rac7.SneakySasquatch
ShovelKnightDig,com.yachtclubgames.skdig
SimonsCat,com.tactilegames.simonscatstorytime
SkateCity,com.snowman.skatecity
Snakeio,com.kooapps.snakearcade
SolitairePants,com.mtvn.spongebobsolisquarepants
SongPopParty,com.gameloft.SongPopParty
SonicRacing,com.sega.kartios
SonicDreamTeam,com.sega.sdt
SpellStruck,com.artistarcade.hyperion
SpireBlast,com.orbitalknight.spireblast
SpiritoftheMountain,com.snowman.altos-adventure.the-spirit-of-the-mountain
PattyPursuit,com.mtvn.spongebobemerald
Spyder,com.sumo-digital.spyder
SquiggleDrop,com.noodlecake.squiggledrop
SubwayTag,com.sybogames.skateheaven
SummonQuest,com.thelabel.summonquest
SuperLeapDay,com.nitrome.leapday2
SuperMegaMiniParty,co.redgames.smmp
RebirthStaging,com.mtvn.tmntsplinteredfate
TaikoPopTap,jp.co.bandainamcoent.BNEI0361
Tamagotchi,jp.co.bandainamcoent.BNEI0415
TempleRunLegends,com.imangi.trlegends
TempleRunPuzzleAdventure,com.scopely.templerun
TempleRun,com.imangi.templerunplus
TheLastCampfire,uk.co.hellogames.thelastcompass
TheLostCity,com.snowman.altos-odyssey.lost-city
TheOtherside,com.thelabelgames.otherside
TheOregonTrail,com.gameloft.oregontrails
TheSurvivalists,com.team17.survivalists
TinyWings,com.andreasilliger.tinywingsarcade
WCF,com.snowman.wcf
WHATTHECAR,net.triband.what-the-speed
WHATTHEGOLF,com.thelabelgames.golf
WarpedKartRacers,com.electricsquare.atlas-testflight
WordsinProgress,com.gamious.wordsinprogress
ZookeeperWorld,jp.kiteretsu.zookeeper.world
finity,com.seabaa.finity
lumen,com.lykkestudios.prism
reignsbeyond,com.devolver.reignsbeyond
stitch,com.lykkestudios.stitch
tint,com.lykkestudios.tint
wurdweb,com.adriaandejongh.wordwalkapp
